YYMM,èCóù,ÉpÅ[ÉcîÃîÑ,ê›îıâ¸ë¢
1804,246,259,282
1805,244,322,634
1806,120,309,290
1807,153,353,669
1808,201,271,622
1809,123,394,780
1810,256,285,338
1811,286,474,215
1812,242,395,530
1901,262,415,295
1902,119,470,774
1903,159,379,431
1904,291,280,637
1905,134,282,915
1906,103,346,482
1907,294,311,207
1908,290,361,480
1909,280,340,896
1910,299,473,920
1911,217,364,660
1912,271,433,320
2001,143,385,913
2002,148,318,823
2003,268,439,870
2004,294,350,659
2005,261,481,411
2006,280,315,644
2007,221,365,840
2008,241,383,469
2009,178,376,699
2010,166,271,973
2011,121,313,200
2012,294,283,252
2101,179,421,736
2102,179,336,528
2103,136,286,980
2104,244,341,573
2105,105,434,593
2106,291,346,250
2107,196,459,895
2108,248,376,750
2109,250,418,447
2110,242,474,945
2111,270,424,421
2112,137,372,420
2201,162,283,261
2202,293,435,860
2203,126,347,975
2204,296,369,381
2205,214,351,760
2206,255,262,211
2207,105,493,993
2208,128,479,253
2209,null,null,null
2210,null,null,null
2211,null,null,null
2212,null,null,null
2301,null,null,null
2302,null,null,null
2303,null,null,null
